analysis_timestamp,data_start_date,data_end_date,ticker,score,num_comments,comment_sentiment_avg,bullish_comments_ratio,bearish_comments_ratio,current_price,price_change_2w,avg_volume,volume_change,sma_20,rsi,volatility,market_cap,pe_ratio,composite_score
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,REAL,2528.0,2550,0.2278521298174442,0.7010309278350515,0.29896907216494845,5.88,47.37,2872359.0,-32.22,4.24,92.4,90.88,644983104.0,-22.400002,0.8733333333333333
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,AI,488.0,1170,0.22335965665236052,0.7349397590361446,0.26506024096385544,37.18,43.06,5916072.0,-6.27,30.35,76.4,98.73,4723086848.0,-109.86348,0.73
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,DNN,488.0,234,0.22335965665236052,0.7349397590361446,0.26506024096385544,2.36,12.92,22554527.0,6.52,2.19,67.78,52.26,2115461504.0,-62.38435,0.6433333333333333
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,ML,488.0,234,0.22335965665236052,0.7349397590361446,0.26506024096385544,91.7,16.12,255577.0,-31.29,75.63,64.82,123.31,1017980032.0,16.687899,0.6033333333333333
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,M,9328.666666666666,5735,0.09985435376811724,0.6328126203571044,0.36718737964289566,16.24,4.84,5970481.0,-48.05,15.55,56.18,47.02,4504537088.0,6.3191156,0.6
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,S,362.0,480,0.12609367088607595,0.660377358490566,0.33962264150943394,27.95,7.05,3323072.0,-34.11,27.29,52.7,40.75,8907665408.0,137.13753,0.5933333333333333
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,X,881.4,1979,0.09008164787089248,0.5727742165242165,0.4272257834757835,40.77,13.79,5505727.0,-47.61,39.29,48.43,54.4,9180222464.0,14.566957,0.5666666666666667
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,NVDA,7890.0,1625,0.07729585152838428,0.6192170818505338,0.3807829181494662,138.25,-2.63,224887863.0,-36.92,142.51,38.07,41.56,3385742589952.0,31.285711,0.5133333333333333
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,MSTR,6235.0,329,0.11152052117263844,0.6502463054187192,0.3497536945812808,387.47,13.74,36826600.0,-40.29,340.73,62.53,152.81,89618710528.0,-17220.889,0.48666666666666664
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,EV,691.0,1746,0.11210143884892083,0.5913461538461539,0.4086538461538461,25.2,2.48,940.0,-78.74,25.34,45.43,24.34,,,0.4800000000000001
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,UK,963.0,1580,0.08064459459459461,0.5648148148148148,0.43518518518518523,1.23,0.82,49168.0,-46.1,1.23,47.97,32.79,1780941.0,,0.4766666666666667
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,L,396.0,157,0.23681210191082805,0.7631578947368421,0.23684210526315788,86.73,3.73,785127.0,-48.0,83.37,77.55,26.89,18783723520.0,29.906897,0.44999999999999996
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,AMD,488.0,234,0.22335965665236052,0.7349397590361446,0.26506024096385544,137.18,1.69,33804636.0,-52.42,140.76,31.37,30.62,222608965632.0,26.69138,0.42333333333333334
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,PH,396.0,157,0.23681210191082805,0.7631578947368421,0.23684210526315788,702.9,0.57,703472.0,-52.86,690.97,54.59,34.93,90477289472.0,23.80717,0.38999999999999996
2024-11-29 21:03:59.215498,2024-10-30 21:03:59.215665,2024-11-29 21:03:59.215799,RDDT,963.0,158,0.08064459459459461,0.5648148148148148,0.4351851851851852,140.69,12.75,9010163.0,-76.63,132.17,53.63,94.92,24702068736.0,59.17785,0.17
